0,2695,2696
1,2697,2698
2,2698,2699
3,2699,2700
4,2700,2701
5,2702,2703
6,2704,2705
7,2705,2706
8,2706,2707
9,2707,2708
10,2708,2709
11,2709,2710
12,2710,2711
13,2711,2712
14,2713,2714
15,2715,2716
16,2716,2717
17,2717,2718
18,2718,2719
19,2719,2702
20,2720,2721
21,2721,2703
22,2702,2722
23,2722,2723
24,2723,2720
25,2714,2724
26,2724,2725
27,2725,2726
28,2726,2727
29,2727,2728
30,2728,2729
31,2729,2730
32,2730,2731
33,2731,2732
34,2733,2734
35,2734,2735
36,2735,2736
37,2736,2737
38,2737,2732
39,2738,2739
40,2739,2740
41,2740,2741
42,2741,2713
43,2696,2742
44,2742,2743
45,2743,2744
46,2744,2720
47,2712,2745
48,2745,2746
49,2746,2747
50,2713,2748
51,2748,2749
52,2749,2750
53,2750,2751
54,2751,2752
55,2752,2753
56,2753,2754
57,2754,2755
58,2755,2756
59,2756,2757
60,2757,2758
61,2758,2759
62,2759,2760
63,2760,2747
64,2712,2761
65,2761,2762
66,2762,2763
67,2763,2764
68,2764,2765
69,2765,2766
70,2766,2767
71,2767,2768
72,2768,2769
73,2769,2770
74,2770,2771
75,2771,2743
76,2732,2772
77,2772,2773
78,2772,2774
79,2774,2775
80,2775,2776
81,2776,2738
82,2772,2715
83,2773,2715
84,2714,2738
85,2777,2778
86,2778,2697
87,2777,2779
88,2779,2780
89,2704,2781
90,2781,2782
91,2782,2783
92,2783,2784
93,2784,2785
94,2785,2786
95,2786,2787
96,2787,2788
97,2788,2697
98,2789,2790
99,2790,2791
100,2791,2792
101,2793,2794
102,2794,2795
103,2795,2796
104,2796,2797
105,2797,2798
106,2798,2789
107,2747,2799
108,2799,2704
109,2800,2801
110,2801,2802
111,2802,2803
112,2804,2805
113,2805,2702
114,2806,2804
115,2807,2808
116,2808,2715
117,2809,2810
118,2810,2811
119,2811,2812
120,2812,2813
121,2701,2814
122,2814,2815
123,2815,2816
124,2816,2817
125,2817,2818
126,2818,2819
127,2819,2820
128,2820,2821
129,2821,2822
130,2823,2824
131,2813,2825
132,2825,2826
133,2826,2827
134,2827,2828
135,2828,2829
136,2829,2823
137,2773,2830
138,2830,2831
139,2832,2833
140,2833,2834
141,2834,2835
142,2835,2836
143,2836,2837
144,2837,2838
145,2838,2701
146,2701,2839
147,2840,2841
148,2841,2842
149,2842,2843
150,2843,2844
151,2844,2762
152,2844,2845
153,2845,2846
154,2846,2847
155,2847,2848
156,2848,2793
157,2824,2849
158,2849,2850
159,2851,2852
160,2852,2853
161,2853,2854
162,2854,2855
163,2855,2856
164,2856,2857
165,2857,2858
166,2858,2813
167,2813,2859
168,2859,2860
169,2860,2861
170,2861,2862
171,2863,2850
172,2712,2864
173,2864,2865
174,2865,2866
175,2866,2867
176,2867,2863
177,2839,2868
178,2868,2869
179,2869,2870
180,2870,2871
181,2871,2872
182,2872,2873
183,2873,2874
184,2874,2875
185,2875,2876
186,2876,2877
187,2877,2878
188,2878,2867
189,2839,2879
190,2879,2880
191,2880,2881
192,2881,2882
193,2882,2883
194,2884,2885
195,2885,2886
196,2886,2887
197,2887,2888
198,2888,2889
199,2889,2890
200,2890,2891
201,2891,2892
202,2893,2894
203,2894,2895
204,2893,2896
205,2896,2897
206,2897,2733
207,2898,2897
208,2899,2884
209,2809,2900
210,2900,2901
211,2901,2902
212,2902,2903
213,2903,2733
214,2892,2904
215,2904,2905
216,2905,2906
217,2906,2907
218,2907,2908
219,2908,2909
220,2909,2910
221,2910,2900
222,2911,2912
223,2912,2913
224,2913,2914
225,2914,2915
226,2915,2777
227,2916,2898
228,2824,2917
229,2917,2918
230,2918,2919
231,2919,2920
232,2920,2921
233,2921,2922
234,2922,2923
235,2923,2924
236,2924,2925
237,2883,2921
238,2703,2926
239,2926,2927
240,2927,2928
241,2928,2713
